id,level,year,lextale_avg
00064230,1,2023,51.666666666666664
00105168,4,2023,69.16666666666667
00132706,1.5,2023,62.5
00134570,master,2023,81.66666666666667
00523291,1.5,2023,44.166666666666664
00554200,master,2023,89.16666666666666
00565007,1.5,2023,58.333333333333336
00699056,2,2023,45.833333333333336
00739988,3,2023,60.83333333333333
00769366,2,2023,50
00772761,master,2023,81.66666666666666
00776785,2,2023,51.66666666666667
00781708,master,2023,69.16666666666667
00788510,2,2023,47.5
00797526,master,2023,80.83333333333333
00797580,2,2023,50
00801949,1,2023,45.833333333333336
00801957,1,2023,49.16666666666667
00801960,2,2023,67.5
00802251,1.5,2023,55
00802277,1,2023,48.33333333333333
00802302,3,2023,70
00802377,master,2023,80
00802602,1.5,2023,58.33333333333333
00802708,3,2023,62.5
00802767,1.5,2023,53.33333333333333
00802777,1,2023,48.33333333333333
00802845,3,2023,55
00803587,1.5,2023,58.33333333333333
00803588,2,2023,53.33333333333333
00803964,3,2023,60
00804546,1.5,2023,52.5
00804777,4,2023,62.5
00805107,2,2023,49.16666666666667
00814709,2,2023,60.07751937984496
00814729,2,2023,52.5
00814748,2,2023,59.16666666666667
0081501x,3,2023,45.833333333333336
00815078,1.5,2023,48.33333333333333
00815083,2,2023,58.33333333333333
00815510,1.5,2023,49.16666666666666
00815545,1.5,2023,52.5
00815604,1,2023,41.66666666666667
00815752,2,2023,58.333333333333336
00816351,1.5,2023,49.16666666666666
00816375,1.5,2023,53.333333333333336
00759422,1.5,2023,60
00759888,4,2023,75.83333333333333
00768963,master,2023,96.66666666666669
00769598,1.5,2023,51.96078431372549
00775446,2,2023,64.16666666666667
00802289,1.5,2023,45.833333333333336
00802298,1.5,2023,42.5
00803146,1.5,2023,55.83333333333333
00803399,1.5,2023,47.5
00805000,2,2023,54.16666666666667
00811511,1.5,2023,52.5
00814122,3,2023,66.66666666666666
00815014,2,2023,55.83333333333333
0081501x,3,2023,51.666666666666664
00815549,4,2023,65.83333333333334
00888795,2,2023,52.5
